wavelength primary
6190.00 0.90899
6200.00 0.90887
6210.00 0.90876
6220.00 0.90864
6230.00 0.90853
6240.00 0.90841
6250.00 0.90829
6260.00 0.90817
6270.00 0.90805
6280.00 0.90793
6290.00 0.90780
6300.00 0.90768
6310.00 0.90756
6320.00 0.90743
6330.00 0.90730
6340.00 0.90718
6350.00 0.90705
6360.00 0.90692
6370.00 0.90679
6380.00 0.90666
6390.00 0.90653
6400.00 0.90639
6410.00 0.90626
6420.00 0.90612
6430.00 0.90599
6440.00 0.90585
6450.00 0.90571
6460.00 0.90557
6470.00 0.90543
6480.00 0.90529
6490.00 0.90514
6500.00 0.90500
6510.00 0.90485
6520.00 0.90471
6530.00 0.90456
6540.00 0.90441
6550.00 0.90426
6560.00 0.90411
6570.00 0.90396
6580.00 0.90381
6590.00 0.90366
6600.00 0.90350
6610.00 0.90335
6620.00 0.90319
6630.00 0.90304
6640.00 0.90288
6650.00 0.90272
6660.00 0.90256
6670.00 0.90241
6680.00 0.90225
6690.00 0.90209
6700.00 0.90193
6710.00 0.90176
6720.00 0.90160
6730.00 0.90144
6740.00 0.90128
6750.00 0.90112
6760.00 0.90095
6770.00 0.90079
6780.00 0.90062
6790.00 0.90046
6800.00 0.90030
6810.00 0.90013
6820.00 0.89997
6830.00 0.89980
6840.00 0.89964
6850.00 0.89947
6860.00 0.89931
6870.00 0.89914
6880.00 0.89897
6890.00 0.89881
6900.00 0.89864
6910.00 0.89848
6920.00 0.89831
6930.00 0.89815
6940.00 0.89798
6950.00 0.89782
6960.00 0.89765
6970.00 0.89749
6980.00 0.89733
6990.00 0.89716
7000.00 0.89700
7010.00 0.89684
7020.00 0.89667
7030.00 0.89651
7040.00 0.89635
7050.00 0.89619
7060.00 0.89602
7070.00 0.89586
7080.00 0.89569
7090.00 0.89553
7100.00 0.89536
7110.00 0.89519
7120.00 0.89502
7130.00 0.89485
7140.00 0.89468
7150.00 0.89451
7160.00 0.89433
7170.00 0.89415
7180.00 0.89397
7190.00 0.89379
7200.00 0.89360
7210.00 0.89341
7220.00 0.89322
7230.00 0.89303
7240.00 0.89283
7250.00 0.89263
7260.00 0.89242
7270.00 0.89221
7280.00 0.89200
7290.00 0.89178
7300.00 0.89156
7310.00 0.89133
7320.00 0.89110
7330.00 0.89087
7340.00 0.89063
7350.00 0.89038
7360.00 0.89013
7370.00 0.88988
7380.00 0.88962
7390.00 0.88935
7400.00 0.88908
7410.00 0.88880
7420.00 0.88852
7430.00 0.88823
7440.00 0.88793
7450.00 0.88762
7460.00 0.88731
7470.00 0.88700
7480.00 0.88667
7490.00 0.88634
7500.00 0.88600
7510.00 0.88565
7520.00 0.88530
7530.00 0.88494
7540.00 0.88457
7550.00 0.88420
7560.00 0.88382
7570.00 0.88343
7580.00 0.88304
7590.00 0.88265
7600.00 0.88225
7610.00 0.88185
7620.00 0.88144
7630.00 0.88103
7640.00 0.88062
7650.00 0.88021
7660.00 0.87979
7670.00 0.87937
7680.00 0.87895
7690.00 0.87853
7700.00 0.87811
7710.00 0.87769
7720.00 0.87727
7730.00 0.87685
7740.00 0.87643
7750.00 0.87601
7760.00 0.87559
7770.00 0.87518
7780.00 0.87476
7790.00 0.87435
7800.00 0.87395
7810.00 0.87354
7820.00 0.87314
7830.00 0.87275
7840.00 0.87235
7850.00 0.87197
7860.00 0.87159
7870.00 0.87121
7880.00 0.87084
7890.00 0.87048
7900.00 0.87012
7910.00 0.86977
7920.00 0.86943
7930.00 0.86909
7940.00 0.86877
7950.00 0.86845
7960.00 0.86814
7970.00 0.86784
7980.00 0.86755
7990.00 0.86727
8000.00 0.86700
8010.00 0.86674
8020.00 0.86649
8030.00 0.86625
8040.00 0.86603
8050.00 0.86581
8060.00 0.86561
8070.00 0.86541
8080.00 0.86523
8090.00 0.86505
8100.00 0.86489
8110.00 0.86474
8120.00 0.86460
8130.00 0.86446
8140.00 0.86434
8150.00 0.86423
8160.00 0.86413
8170.00 0.86405
8180.00 0.86397
8190.00 0.86390
8200.00 0.86384
8210.00 0.86380
8220.00 0.86376
8230.00 0.86374
8240.00 0.86372
8250.00 0.86372
8260.00 0.86372
8270.00 0.86374
8280.00 0.86377
8290.00 0.86380
8300.00 0.86385
8310.00 0.86391
8320.00 0.86398
8330.00 0.86406
8340.00 0.86415
8350.00 0.86425
8360.00 0.86436
8370.00 0.86448
8380.00 0.86461
8390.00 0.86475
8400.00 0.86491
8410.00 0.86507
8420.00 0.86524
8430.00 0.86543
8440.00 0.86562
8450.00 0.86582
8460.00 0.86604
8470.00 0.86626
8480.00 0.86650
8490.00 0.86674
8500.00 0.86700
8510.00 0.86727
8520.00 0.86754
8530.00 0.86783
8540.00 0.86813
8550.00 0.86843
8560.00 0.86875
8570.00 0.86907
8580.00 0.86941
8590.00 0.86976
8600.00 0.87011
8610.00 0.87047
8620.00 0.87085
8630.00 0.87123
8640.00 0.87162
8650.00 0.87202
8660.00 0.87243
8670.00 0.87285
8680.00 0.87328
8690.00 0.87371
8700.00 0.87416
8710.00 0.87461
8720.00 0.87507
8730.00 0.87554
8740.00 0.87602
8750.00 0.87650
8760.00 0.87700
8770.00 0.87750
8780.00 0.87801
8790.00 0.87853
8800.00 0.87905
8810.00 0.87958
8820.00 0.88012
8830.00 0.88067
8840.00 0.88122
8850.00 0.88178
8860.00 0.88235
8870.00 0.88293
8880.00 0.88351
8890.00 0.88410
8900.00 0.88469
8910.00 0.88530
8920.00 0.88591
8930.00 0.88652
8940.00 0.88714
8950.00 0.88777
8960.00 0.88840
8970.00 0.88904
8980.00 0.88969
8990.00 0.89034
9000.00 0.89100
9010.00 0.89166
9020.00 0.89233
9030.00 0.89301
9040.00 0.89368
9050.00 0.89437
9060.00 0.89505
9070.00 0.89574
9080.00 0.89644
9090.00 0.89713
9100.00 0.89783
9110.00 0.89853
9120.00 0.89924
9130.00 0.89994
9140.00 0.90065
9150.00 0.90135
9160.00 0.90206
9170.00 0.90277
9180.00 0.90347
9190.00 0.90418
9200.00 0.90489
9210.00 0.90559
9220.00 0.90630
9230.00 0.90700
9240.00 0.90770
9250.00 0.90839
9260.00 0.90909
9270.00 0.90978
9280.00 0.91047
9290.00 0.91115
9300.00 0.91183
9310.00 0.91250
9320.00 0.91317
9330.00 0.91384
9340.00 0.91450
9350.00 0.91515
9360.00 0.91580
9370.00 0.91644
9380.00 0.91707
9390.00 0.91770
9400.00 0.91831
9410.00 0.91892
9420.00 0.91953
9430.00 0.92012
9440.00 0.92070
9450.00 0.92128
9460.00 0.92184
9470.00 0.92240
9480.00 0.92294
9490.00 0.92348
9500.00 0.92400
9510.00 0.92451
9520.00 0.92501
9530.00 0.92550
9540.00 0.92598
9550.00 0.92645
9560.00 0.92691
9570.00 0.92735
9580.00 0.92779
9590.00 0.92822
9600.00 0.92864
9610.00 0.92905
9620.00 0.92945
9630.00 0.92984
9640.00 0.93022
9650.00 0.93060
9660.00 0.93096
9670.00 0.93132
9680.00 0.93167
9690.00 0.93201
9700.00 0.93235
9710.00 0.93267
9720.00 0.93300
9730.00 0.93331
9740.00 0.93362
9750.00 0.93392
9760.00 0.93421
9770.00 0.93450
9780.00 0.93479
9790.00 0.93506
9800.00 0.93534
9810.00 0.93560
9820.00 0.93587
9830.00 0.93612
9840.00 0.93638
9850.00 0.93663
9860.00 0.93687
9870.00 0.93711
9880.00 0.93735
9890.00 0.93759
9900.00 0.93782
9910.00 0.93805
9920.00 0.93827
9930.00 0.93849
9940.00 0.93871
9950.00 0.93893
9960.00 0.93915
9970.00 0.93936
9980.00 0.93958
9990.00 0.93979
10000.00 0.94000
10010.00 0.94021
10020.00 0.94042
10030.00 0.94063
10040.00 0.94083
10050.00 0.94104
10060.00 0.94125
10070.00 0.94145
10080.00 0.94166
10090.00 0.94186
10100.00 0.94206
10110.00 0.94226
10120.00 0.94246
10130.00 0.94266
10140.00 0.94286
10150.00 0.94306
10160.00 0.94326
10170.00 0.94345
10180.00 0.94365
10190.00 0.94384
10200.00 0.94404
10210.00 0.94423
10220.00 0.94442
10230.00 0.94461
10240.00 0.94480
10250.00 0.94499
10260.00 0.94518
10270.00 0.94537
10280.00 0.94555
10290.00 0.94574
10300.00 0.94593
10310.00 0.94611
10320.00 0.94629
10330.00 0.94648
10340.00 0.94666
10350.00 0.94684
10360.00 0.94702
10370.00 0.94720
10380.00 0.94738
10390.00 0.94756
10400.00 0.94773
10410.00 0.94791
10420.00 0.94809
10430.00 0.94826
10440.00 0.94843
10450.00 0.94861
10460.00 0.94878
10470.00 0.94895
10480.00 0.94912
10490.00 0.94929
10500.00 0.94946
10510.00 0.94963
10520.00 0.94980
10530.00 0.94997
10540.00 0.95013
10550.00 0.95030
10560.00 0.95046
10570.00 0.95063
10580.00 0.95079
10590.00 0.95095
10600.00 0.95111
10610.00 0.95127
10620.00 0.95143
10630.00 0.95159
10640.00 0.95175
10650.00 0.95191
10660.00 0.95207
10670.00 0.95222
10680.00 0.95238
10690.00 0.95253
10700.00 0.95269
10710.00 0.95284
10720.00 0.95299
10730.00 0.95314
10740.00 0.95329
10750.00 0.95344
10760.00 0.95359
10770.00 0.95374
10780.00 0.95389
10790.00 0.95404
10800.00 0.95418
10810.00 0.95433
10820.00 0.95447
10830.00 0.95462
10840.00 0.95476
10850.00 0.95491
10860.00 0.95505
10870.00 0.95519
10880.00 0.95533
10890.00 0.95547
10900.00 0.95561
10910.00 0.95575
10920.00 0.95589
10930.00 0.95602
10940.00 0.95616
10950.00 0.95630
10960.00 0.95643
10970.00 0.95656
10980.00 0.95670
10990.00 0.95683
11000.00 0.95696
